,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
에스에스지닷컴,커머스 ,16,40,58%,"쓱, ssg, 에스에스지닷컴",73%,89%,92%,56%,89%,91%,43%,53%,15%,15%,93%,90%,85%,76%,94%,-7%,40%,63%,-47%,-7%,40%,63%,-47%,74%,-48%,68%,36%,22%,101%,"21%"
아이센스,제약-바이오 ,13,40,59%,"아이센스, isens, i-sens, 아이sens",87%,78%,44%,70%,51%,71%,86%,84%,88%,74%,53%,41%,69%,73%,45%,-1%,-4%,75%,93%,-1%,-4%,75%,93%,43%,9%,65%,19%,95%,8%,"24%"
에코프로비엠,에너지-화학 ,18,40,57%,에코프로비엠,82%,68%,45%,57%,73%,57%,82%,91%,88%,60%,55%,72%,50%,93%,65%,-10%,51%,34%,8%,-10%,51%,34%,8%,6%,67%,13%,24%,-15%,20%,"72%"
엔카닷컴,IT ,11,40,59%,"엔카닷컴, Encar, 엔카, Encar닷컴",89%,86%,76%,52%,85%,97%,90%,76%,2%,8%,22%,73%,70%,91%,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SK실트론,반도체 ,43,40,59%,"엘지실트론, LG실트론, SK실트론, 실트론, SK 실트론",65%,76%,49%,51%,62%,66%,82%,63%,70%,77%,76%,26%,33%,44%,38%,-24%,-3%,-5%,1%,-24%,-3%,-5%,1%,-12%,1%,4%,-3%,4%,6%,"-18%"
여기어때컴퍼니,IT ,21,40,60%,"여기어때컴퍼니, 여기어때",66%,81%,79%,48%,29%,86%,72%,81%,57%,55%,37%,50%,80%,67%,74%,-34%,-20%,-39%,-37%,-34%,-20%,-39%,-37%,-32%,-15%,-42%,-11%,-29%,-16%,"3%"
충남대학교병원,병원 ,13,40,57%,충남대학교병원,33%,50%,15%,69%,85%,13%,11%,44%,8%,25%,53%,50%,71%,45%,45%,-16%,53%,32%,18%,-16%,53%,32%,18%,-3%,14%,16%,23%,26%,14%,"4%"
한진,물류 ,23,40,59%,"한진, HANJIN",45%,50%,42%,42%,51%,38%,38%,51%,58%,52%,44%,30%,51%,73%,37%,17%,65%,100%,120%,17%,65%,100%,120%,221%,85%,149%,26%,47%,33%,"11%"
현대건설,건설-중공업,49,40,59%,"현대 건설, 현건, 현대건설, HYUNDAI E&C",84%,86%,57%,72%,91%,76%,56%,83%,83%,86%,86%,70%,50%,83%,90%,-16%,5%,-11%,-4%,-16%,5%,-11%,-4%,-1%,-6%,-11%,3%,-7%,-16%,"-17%"
휴젤,제약-바이오 ,12,40,58%,"휴젤, Hugel",27%,29%,49%,69%,19%,32%,3%,16%,40%,65%,26%,9%,31%,24%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인스파이어인티그레이티드리조트,호텔-레저 ,18,40,57%,#N/A,43%,36%,82%,63%,54%,58%,85%,49%,49%,31%,46%,69%,44%,66%,76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
디엔에프,반도체,11,40,58%,#N/A,74%,74%,86%,65%,10%,43%,41%,51%,19%,30%,22%,50%,49%,37%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
부산시설공단,공공기관 ,13,40,58%,#N/A,44%,74%,26%,16%,39%,82%,84%,79%,72%,82%,53%,86%,75%,83%,86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
지엠비코리아,자동차 ,10,40,58%,#N/A,48%,37%,70%,21%,60%,19%,87%,13%,27%,32%,84%,33%,31%,11%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
피에이치에이,자동차 ,10,40,58%,#N/A,64%,40%,76%,58%,40%,45%,26%,18%,8%,8%,58%,57%,41%,30%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
케이티에이치씨엔,통신 ,10,40,60%,#N/A,77%,58%,11%,38%,9%,15%,31%,63%,82%,55%,22%,20%,21%,19%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LX세미콘,전자-기계 ,21,39,62%,"LX세미콘, 엘엑스세미콘, 실리콘웍스, LX 세미콘, Silicon Works, 엘엑스 세미콘",72%,82%,96%,64%,85%,58%,74%,93%,84%,91%,87%,90%,74%,91%,87%,-15%,3%,2%,0%,-15%,3%,2%,0%,-21%,-15%,44%,6%,-21%,-29%,"-22%"
심텍,반도체 ,13,39,60%,"simmtech, 심텍",59%,42%,49%,77%,73%,50%,31%,67%,69%,42%,39%,20%,78%,43%,36%,1%,53%,34%,4%,1%,53%,34%,4%,47%,-17%,55%,18%,-13%,36%,"75%"
네패스,반도체,17,39,60%,네패스,41%,59%,63%,39%,15%,5%,31%,7%,20%,42%,45%,22%,73%,25%,29%,-19%,19%,-29%,33%,-19%,19%,-29%,33%,-9%,4%,-3%,-6%,8%,-3%,"61%"
다스,자동차,11,39,61%,"다스, DAS",61%,50%,70%,56%,59%,43%,27%,42%,19%,50%,80%,73%,16%,64%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대구공공시설관리공단,공공기관 ,12,39,60%,"대구공공시설관리공단, 대구시설관리공단, 대구시설공단, 대구공공관리공단, 대구시, 대구",66%,71%,74%,17%,23%,82%,96%,63%,84%,55%,37%,59%,47%,42%,45%,-21%,-7%,-26%,-5%,-21%,-7%,-26%,-5%,21%,-15%,-26%,-24%,-21%,-31%,"-1%"
도화엔지니어링,건설-중공업,14,39,63%,도화엔지니어링,58%,50%,77%,79%,80%,24%,19%,73%,88%,89%,95%,66%,73%,82%,55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
동화약품,제약-바이오,18,39,61%,"동화약품, 동화, Dongwha",62%,33%,46%,93%,23%,66%,22%,23%,13%,36%,41%,59%,31%,66%,37%,-28%,-4%,-22%,-3%,-28%,-4%,-22%,-3%,-17%,17%,14%,6%,23%,3%,"-15%"
비즈테크아이,IT서비스 ,14,39,62%,"비즈테크아이, Biztechi,비즈테크i, LG비즈테크아이, LG비즈테크i, LG, 엘지",58%,83%,96%,41%,51%,73%,98%,90%,74%,98%,15%,15%,92%,17%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성전자,IT ,330,39,60%,"삼전, 삼성전자, SAMSUNG, 삼성전자 경력",80%,87%,68%,72%,71%,89%,96%,74%,65%,76%,81%,81%,87%,88%,87%,-14%,16%,12%,-6%,-14%,16%,12%,-6%,-9%,-4%,6%,0%,1%,9%,"3%"
서울특별시,정부·공공기관 ,45,39,62%,"서울특별시, 서울시",59%,55%,44%,78%,78%,93%,95%,88%,92%,83%,79%,90%,86%,87%,78%,-21%,39%,13%,2%,-21%,39%,13%,2%,-34%,-16%,-9%,13%,-24%,-20%,"-14%"
신세계아이앤씨,IT서비스 ,21,39,62%,"신세계아이앤씨, SHINSEGAE I&C, 신세계 아이앤씨",75%,63%,79%,88%,73%,91%,20%,65%,53%,36%,53%,35%,73%,52%,80%,-27%,6%,12%,-43%,-27%,6%,12%,-43%,-55%,-18%,-7%,41%,1%,13%,"26%"
조선호텔앤리조트,호텔-레저 ,14,39,63%,"신세계조선호텔, 조선호텔앤리조트",77%,53%,29%,70%,40%,82%,95%,85%,50%,71%,95%,92%,85%,85%,79%,-14%,7%,-14%,31%,-14%,7%,-14%,31%,8%,6%,-20%,-32%,-23%,19%,"11%"
CJ프레시웨이,식음료,44,39,63%,"씨제이프레스웨이, CJ FRESHWAY, 씨제이프레시웨이, CJ프레시웨이, 프레시웨이, CJ 프레시웨이, 씨제이 프레시웨이",86%,65%,58%,61%,66%,67%,80%,71%,82%,85%,70%,62%,66%,43%,72%,-12%,3%,1%,35%,-12%,3%,1%,35%,-13%,44%,-12%,-12%,-20%,-11%,"-26%"
에스앤아이코퍼레이션,건설-중공업,11,39,62%,"에스앤아이코퍼레이션, S&I, S&I corp, S&I코퍼레이션",41%,67%,59%,81%,23%,90%,51%,77%,66%,20%,37%,30%,25%,72%,45%,-17%,52%,-10%,11%,-17%,52%,-10%,11%,2%,4%,-31%,-3%,-11%,-3%,"7%"
오뚜기,식음료 ,33,39,62%,오뚜기,68%,64%,72%,72%,44%,72%,65%,63%,56%,41%,62%,83%,75%,64%,38%,-21%,-7%,-23%,-18%,-21%,-7%,-23%,-18%,-34%,-8%,-1%,-12%,4%,7%,"3%"
오티스엘리베이터,전자-기계 ,22,39,60%,오티스엘리베이터,61%,65%,56%,58%,51%,40%,19%,81%,58%,50%,53%,43%,54%,82%,72%,-24%,-21%,-17%,-9%,-24%,-21%,-17%,-9%,-20%,6%,14%,19%,-24%,-20%,"-14%"
이마트24,커머스 ,19,39,62%,"이마트24, Emart24, 이마트, 이마트이십사, Emart이십사, 신세계, Shinsegae",68%,60%,30%,84%,36%,81%,79%,54%,65%,68%,61%,42%,57%,79%,49%,-14%,27%,69%,20%,-14%,27%,69%,20%,2%,-6%,8%,-7%,18%,-9%,"20%"
한영회계법인,회계-컨설팅 ,35,39,63%,"이와이, 한영 회계법인, 한영회계법인, EY한영, EY 한영, 한영, EY",76%,68%,86%,81%,77%,50%,63%,64%,52%,76%,86%,42%,65%,69%,64%,-16%,11%,22%,-19%,-16%,11%,22%,-19%,2%,3%,2%,-3%,-2%,-6%,"-11%"
케이지엔지니어링종합건축사사무소,건설-중공업 ,20,39,60%,"케이지엔지니어링종합건축사사무소, 케이지엔지니어링, KG엔지니어링, KG엔지니어링종합건축사사무소, KG엔지니어링종합건축사무소",64%,75%,63%,93%,98%,86%,13%,82%,76%,31%,99%,52%,27%,87%,76%,-18%,1%,3%,6%,-18%,1%,3%,6%,-36%,-36%,-4%,42%,32%,-4%,"21%"
코레일네트웍스,철도 ,16,39,63%,"코레일네트웍스, Korail Networks, Korail네트웍스, 코레일networks, 코레일, Korail",41%,70%,65%,24%,19%,59%,95%,63%,84%,92%,34%,53%,98%,95%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
포스코퓨처엠,에너지-화학 ,27,39,61%,"포스코켐텍, 포스코케미칼, 포스코 케미칼",63%,61%,81%,64%,92%,72%,80%,65%,29%,60%,75%,87%,25%,64%,34%,-15%,9%,52%,1%,-15%,9%,52%,1%,14%,2%,16%,-3%,-6%,17%,"35%"
한국건강관리협회,병원 ,20,39,62%,"한국건강관리협회, KAHP",42%,20%,38%,62%,71%,68%,31%,56%,64%,19%,47%,72%,66%,75%,45%,-5%,48%,73%,35%,-5%,48%,73%,35%,-4%,-2%,1%,16%,3%,-8%,"123%"
한국알프스,전자-기계 ,13,39,63%,"한국알프스, 알프스, Alps, 알프스 한국, 알프스 코리아",52%,15%,43%,47%,56%,11%,24%,14%,15%,1%,73%,22%,69%,47%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한전산업개발,에너지-화학 ,35,39,61%,한전산업개발,42%,54%,74%,35%,56%,73%,51%,49%,49%,52%,34%,28%,46%,61%,46%,6%,49%,127%,142%,6%,49%,127%,142%,125%,5%,18%,11%,20%,32%,"47%"
해비치호텔&리조트,호텔-레저 ,11,39,62%,"해비치호텔&리조트, 해비치호텔, 해비치, Haevichi, Haevichi hotel",68%,73%,36%,77%,51%,66%,98%,90%,82%,57%,70%,94%,91%,59%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대엘리베이터서비스,전자-기계,19,39,60%,"현대엘리베이터서비스, hyundai엘리베이터서비스, 현대엘리베이터 서비스",52%,32%,57%,38%,9%,25%,26%,56%,27%,36%,30%,43%,79%,38%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대엔지니어링,건설-중공업,52,39,61%,"현엔, 현대엔지니어링, 현대엔지, Hyndai Engineering, 현대 엔지니어링",85%,71%,56%,53%,43%,66%,66%,74%,82%,77%,54%,71%,41%,48%,80%,-26%,-23%,-20%,-24%,-26%,-23%,-20%,-24%,28%,20%,-14%,-5%,0%,-17%,"19%"
삼일제약,제약-바이오 ,13,39,61%,#N/A,33%,53%,78%,51%,18%,27%,24%,24%,42%,60%,34%,41%,73%,93%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SKC,에너지-화학 ,15,39,61%,#N/A,50%,86%,82%,85%,42%,70%,72%,84%,88%,99%,56%,7%,40%,64%,84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
롯데이노베이트,IT서비스 ,36,39,61%,#N/A,62%,64%,48%,58%,25%,70%,66%,79%,66%,70%,62%,62%,46%,52%,77%,-7%,30%,13%,20%,-7%,30%,13%,20%,21%,-1%,20%,7%,11%,58%,"7%"
IBK투자증권,증권 ,10,39,61%,#N/A,57%,39%,48%,51%,23%,37%,89%,51%,64%,50%,58%,21%,25%,40%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
티에스이,전자-기계 ,24,39,63%,#N/A,32%,65%,76%,30%,25%,66%,72%,36%,40%,62%,53%,5%,77%,55%,51%,33%,479%,157%,60%,33%,479%,157%,60%,135%,74%,127%,28%,86%,25%,"31%"
GS ITM,IT서비스,10,38,65%,"GS ITM, GS아이티엠, 지에스아이티엠, GS, 지에스",25%,55%,74%,12%,29%,17%,45%,36%,14%,25%,8%,4%,85%,40%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하나투어,여행사 ,18,38,66%,"HNT, 하나투어",80%,68%,46%,38%,81%,80%,97%,84%,47%,48%,30%,71%,88%,61%,84%,-10%,25%,18%,36%,-10%,25%,18%,36%,39%,-18%,22%,-20%,-1%,54%,"25%"
롯데카드,금융 ,18,38,65%,"LOTTE CARD, 롯데카드",73%,71%,56%,61%,51%,98%,73%,95%,97%,98%,65%,56%,59%,91%,100%,-5%,50%,54%,32%,-5%,50%,54%,32%,41%,32%,7%,-2%,-37%,-34%,"-39%"
경신,전자-기계 ,16,38,65%,"경신, Kyungshin",87%,97%,88%,77%,80%,91%,96%,93%,97%,100%,74%,93%,70%,96%,67%,-14%,-3%,22%,17%,-14%,-3%,22%,17%,-17%,4%,92%,20%,19%,-13%,"-36%"
동화기업,건자재,15,38,65%,"동화기업, 동화, Dongwha",79%,62%,90%,90%,65%,66%,51%,66%,66%,84%,60%,83%,68%,94%,82%,-29%,-19%,5%,-45%,-29%,-19%,5%,-45%,-42%,6%,150%,89%,61%,58%,"-20%"
메디톡스,제약-바이오 ,19,38,64%,"메디톡스, Medytox",75%,60%,79%,85%,62%,68%,87%,79%,77%,55%,31%,69%,45%,49%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼정KPMG,회계-컨설팅 ,63,38,64%,"삼정KPMG,  삼정회계법인, 케이피엠지, KPMG, 삼정 KPMG,  삼정 회계법인",67%,77%,91%,93%,97%,74%,82%,72%,66%,84%,97%,65%,45%,86%,75%,-34%,-2%,-31%,-49%,-34%,-2%,-31%,-49%,-64%,-47%,-31%,-23%,-23%,-12%,"-26%"
순천향대학교병원,병원 ,28,38,64%,순천향대학교병원,77%,66%,27%,88%,90%,51%,51%,79%,76%,68%,70%,94%,87%,91%,91%,-22%,-13%,31%,-8%,-22%,-13%,31%,-8%,-34%,-7%,4%,12%,14%,33%,"15%"
신협,금융 ,33,38,64%,신협,54%,44%,34%,63%,36%,74%,29%,45%,37%,44%,26%,67%,54%,65%,57%,-13%,52%,30%,23%,-13%,52%,30%,23%,15%,17%,-6%,-3%,4%,19%,"22%"
에프에스티,반도체 ,10,38,65%,"에프에스티, Fst",41%,50%,86%,98%,39%,43%,28%,25%,21%,34%,69%,18%,68%,10%,32%,-35%,0%,-6%,-52%,-35%,0%,-6%,-52%,-73%,-10%,0%,21%,0%,19%,"5%"
LS전선,전기-전선 ,27,38,64%,"엘에스전선, LS전선, LS 전선",68%,78%,89%,21%,42%,66%,65%,79%,82%,85%,72%,33%,86%,71%,77%,-17%,13%,25%,-42%,-17%,13%,25%,-42%,35%,1%,56%,25%,-5%,-9%,"8%"
LG화학,에너지-화학 ,84,38,63%,"엘지 화학, LG화학, 엘지화학, LG Chem, LG 화학",71%,76%,69%,60%,36%,44%,76%,40%,52%,62%,55%,50%,62%,57%,61%,-17%,29%,20%,-12%,-17%,29%,20%,-12%,0%,19%,27%,1%,36%,23%,"13%"
잡코리아,IT ,14,38,65%,"잡코리아, Job Korea, 잡코, Job코리아",67%,53%,26%,56%,51%,78%,75%,47%,29%,28%,73%,80%,78%,82%,96%,-3%,87%,153%,56%,-3%,87%,153%,56%,16%,-4%,26%,7%,-1%,-6%,"14%"
전남대학교병원,병원 ,12,38,66%,"전남대학교병원, 전남대병원, 전남대, 전남대학교",72%,60%,21%,80%,87%,86%,96%,94%,97%,74%,73%,88%,69%,86%,76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
파트론,전자-기계 ,13,38,64%,"파트론, Partron",44%,50%,17%,58%,17%,52%,19%,90%,82%,25%,41%,36%,74%,91%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하이텔레서비스,통신,19,38,66%,"하이텔레서비스, HITeleservice, 하이텔레, LG하이텔레, LG HITeleservice, LG, 엘지",30%,39%,20%,71%,73%,21%,51%,63%,40%,13%,69%,59%,8%,33%,57%,-20%,22%,1%,12%,-20%,22%,1%,12%,16%,4%,47%,-3%,-15%,-2%,"-2%"
페이머스랩,광고·마케팅,18,38,63%,#N/A,35%,43%,38%,38%,54%,83%,35%,63%,59%,64%,64%,50%,71%,40%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하이비젼시스템,전자-기계 ,10,38,64%,#N/A,57%,58%,39%,77%,89%,17%,11%,42%,30%,40%,100%,57%,31%,17%,17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
솔루엠,전자-기계,13,38,64%,#N/A,41%,35%,78%,62%,23%,31%,13%,23%,29%,42%,34%,16%,42%,60%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대구텍,전자-기계,12,38,64%,#N/A,81%,81%,42%,38%,19%,32%,19%,16%,58%,32%,7%,20%,72%,76%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
두원중공업,자동차,10,38,65%,#N/A,48%,62%,89%,91%,33%,18%,8%,77%,82%,44%,65%,15%,7%,85%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KB데이타시스템,IT서비스 ,14,38,65%,#N/A,72%,71%,94%,69%,15%,93%,97%,92%,82%,40%,28%,65%,77%,22%,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
귀뚜라미,전자-기계,12,38,65%,#N/A,11%,50%,81%,26%,35%,34%,24%,19%,20%,5%,23%,12%,85%,60%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인지컨트롤스,자동차 ,10,38,66%,#N/A,71%,25%,8%,77%,51%,80%,95%,86%,100%,99%,53%,98%,92%,64%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에어부산,항공 ,16,37,67%,"AIR BUSAN, 에어부산",83%,75%,38%,54%,95%,86%,95%,82%,82%,82%,91%,90%,93%,83%,97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
DHL Korea,물류,15,37,68%,"DHL Korea, DHL, 디에이치엘, DHL코리아, 디에이치엘 한국",71%,78%,96%,93%,99%,89%,87%,86%,96%,46%,86%,92%,89%,99%,99%,-44%,-33%,-46%,-68%,-44%,-33%,-46%,-68%,-74%,-74%,-43%,-17%,-43%,-43%,"1%"
매일유업,식음료 ,21,37,67%,"Meil, 매일유업",55%,81%,44%,85%,58%,83%,63%,46%,68%,12%,77%,78%,45%,75%,74%,-21%,33%,-11%,8%,-21%,33%,-11%,8%,-23%,2%,-11%,-3%,-2%,-6%,"24%"
티맥스소프트,IT서비스 ,15,37,67%,"TmaxSoft, 티맥스소프트",89%,94%,23%,51%,29%,70%,52%,24%,52%,60%,53%,28%,53%,54%,69%,0%,67%,80%,92%,0%,67%,80%,92%,33%,70%,71%,69%,223%,79%,"127%"
광주은행,금융 ,14,37,68%,"광주은행, 광주",72%,54%,76%,67%,79%,94%,26%,36%,56%,64%,89%,57%,35%,85%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
국립공원공단,정부·공공기관 ,21,37,68%,"국립공원관리공단, 국립공원공단",60%,24%,61%,56%,39%,34%,62%,55%,72%,76%,58%,57%,69%,92%,57%,-22%,47%,43%,0%,-22%,47%,43%,0%,-30%,-25%,52%,9%,12%,7%,"-14%"
국세청,정부·공공기관,91,37,66%,국세청,81%,63%,30%,72%,67%,77%,72%,66%,69%,47%,81%,68%,94%,80%,47%,1%,53%,44%,33%,1%,53%,44%,33%,65%,10%,23%,13%,34%,33%,"37%"
대검찰청,정부·공공기관,24,37,68%,"대검찰청, 검찰, 검찰청",79%,83%,40%,51%,87%,97%,78%,63%,93%,97%,90%,89%,98%,82%,90%,-29%,-13%,-25%,-6%,-29%,-13%,-25%,-6%,11%,-18%,-43%,-18%,0%,-31%,"-43%"
동국제약,제약-바이오 ,20,37,67%,동국제약,48%,67%,71%,62%,51%,59%,73%,40%,40%,40%,57%,56%,77%,87%,82%,-17%,48%,10%,-19%,-17%,48%,10%,-19%,-27%,47%,3%,-16%,29%,-23%,"-25%"
DL이앤씨,건설-중공업,65,37,68%,"디엘이앤씨, DL E&C, 대림산업, DL이앤씨, DAELIM",78%,91%,62%,77%,66%,78%,44%,68%,59%,55%,76%,80%,58%,68%,91%,-14%,19%,-7%,37%,-14%,19%,-7%,37%,14%,10%,8%,13%,4%,0%,"5%"
롯데칠성음료,식음료,36,37,68%,"롯데칠성음료, LOTTE CHILSUNG, 롯데주류, 롯데칠성",72%,77%,34%,60%,51%,88%,84%,64%,65%,82%,53%,68%,46%,61%,65%,-14%,41%,15%,-6%,-14%,41%,15%,-6%,0%,19%,9%,13%,17%,24%,"19%"
삼성생명서비스손해사정,보험 ,13,37,66%,"삼성생명서비스, 삼성생명서비스손해사정",64%,60%,49%,81%,80%,87%,96%,32%,85%,98%,32%,87%,62%,57%,94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
셀트리온제약,제약-바이오 ,16,37,69%,셀트리온제약,80%,81%,91%,84%,90%,86%,13%,71%,34%,69%,30%,72%,85%,95%,94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에치와이,식음료 ,16,37,66%,"에치와이, 한국야쿠르트",69%,50%,38%,77%,7%,41%,82%,11%,8%,32%,22%,20%,4%,96%,81%,7%,126%,117%,26%,7%,126%,117%,26%,79%,45%,50%,7%,44%,50%,"-6%"
온세미컨덕터테크놀로지코리아,전자-기계 ,22,37,68%,"온세미컨덕터테크놀로지코리아, 온세미컨덕터테크놀로지, 온세미컨덕터, 온세미컨덕터테크, 온세미컨덕터테크놀로지 한국, 온세미컨덕터 한국, 온세미컨덕터코리아, On semiconductor Korea,  On semiconductor",79%,91%,63%,44%,87%,86%,63%,96%,86%,67%,81%,80%,93%,87%,91%,-24%,45%,5%,-33%,-24%,45%,5%,-33%,5%,-14%,-1%,35%,-21%,-6%,"-8%"
우리금융캐피탈,금융 ,10,37,69%,"우리금융캐피탈, 우리금융, 우리, Woori, Woori Financial Capital",20%,50%,56%,69%,70%,15%,26%,31%,8%,12%,60%,67%,68%,15%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
원익큐엔씨,전자-기계 ,26,37,67%,원익큐엔씨,67%,58%,86%,70%,91%,87%,84%,56%,53%,82%,84%,65%,57%,79%,79%,-16%,33%,23%,9%,-16%,33%,23%,9%,-12%,5%,8%,13%,51%,73%,"14%"
이디야,외식-체인 ,14,37,67%,"이디야, Ediya, 이디야커피",63%,31%,94%,95%,15%,48%,61%,32%,61%,67%,28%,34%,47%,20%,37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국에너지공단,공공기관 ,10,37,67%,"한국에너지공단, 에너지공단",94%,56%,39%,83%,87%,97%,71%,63%,72%,58%,77%,59%,68%,91%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대그린푸드,식음료,20,37,67%,"현대 그린푸드, 현대그린푸드, 그린푸드",77%,81%,48%,48%,75%,99%,22%,100%,99%,84%,66%,69%,62%,95%,98%,-19%,-11%,-17%,8%,-19%,-11%,-17%,8%,9%,6%,-49%,14%,-51%,-41%,"-21%"
신세계엘앤비,식음료 ,11,37,66%,#N/A,61%,73%,78%,96%,80%,48%,43%,53%,52%,89%,82%,94%,58%,73%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
티시스,IT서비스 ,10,37,66%,#N/A,25%,56%,56%,67%,23%,29%,84%,51%,82%,92%,67%,37%,68%,40%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국관세무역개발원,물류 ,12,37,67%,#N/A,66%,67%,32%,47%,56%,71%,86%,80%,52%,74%,85%,91%,44%,96%,28%,-26%,26%,5%,-6%,-26%,26%,5%,-6%,-27%,127%,127%,88%,3%,18%,"5%"
한국제지,제지,10,37,68%,#N/A,48%,40%,83%,77%,96%,29%,8%,51%,35%,25%,96%,32%,34%,13%,50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
롯데알미늄,포장재,11,37,68%,#N/A,79%,67%,36%,69%,64%,72%,78%,87%,86%,99%,30%,64%,85%,18%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하나캐피탈,금융 ,10,37,69%,#N/A,41%,50%,74%,41%,91%,15%,8%,15%,30%,50%,58%,21%,57%,30%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
JW중외제약,제약-바이오 ,16,36,71%,"JW중외제약, 중외제약",49%,52%,70%,51%,23%,47%,62%,32%,36%,10%,22%,33%,62%,71%,36%,11%,147%,185%,73%,11%,147%,185%,73%,96%,-1%,17%,-15%,26%,87%,"5%"
계룡건설산업,건설-중공업,22,36,69%,"계룡건설산업, 계룡건설, Kyeryong,  Kyeryong건설, 계룡",42%,73%,63%,77%,74%,30%,69%,74%,47%,60%,95%,96%,90%,97%,77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
두원공조,자동차,14,36,69%,"두원공조, 두원, Doowon",88%,89%,68%,77%,70%,70%,51%,54%,29%,60%,73%,50%,58%,79%,29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
보령,제약-바이오 ,37,36,70%,보령제약,69%,52%,88%,65%,27%,66%,58%,72%,62%,76%,62%,44%,46%,36%,78%,-22%,16%,35%,-22%,-22%,16%,35%,-22%,34%,18%,72%,9%,3%,26%,"-11%"
한국보훈복지의료공단,공공기관 ,16,36,71%,보훈공단,55%,50%,85%,84%,81%,58%,65%,55%,18%,31%,66%,52%,62%,66%,48%,-15%,33%,35%,-15%,-15%,33%,35%,-15%,3%,42%,26%,28%,33%,33%,"28%"
삼양식품,식음료 ,18,36,71%,삼양식품,70%,60%,62%,41%,33%,29%,47%,63%,41%,41%,64%,59%,85%,77%,79%,-17%,18%,20%,7%,-17%,18%,20%,7%,6%,95%,13%,-27%,52%,34%,"6%"
새마을금고,금융 ,62,36,71%,새마을금고,69%,58%,58%,53%,69%,77%,53%,76%,82%,64%,53%,76%,50%,54%,76%,-19%,34%,23%,1%,-19%,34%,23%,1%,14%,-13%,3%,28%,1%,1%,"13%"
